title,url,rating,price,availability
A Light in the Attic,a-light-in-the-attic_1000/index.html,star-rating Three,51.77,Instock
Tipping the Velvet,tipping-the-velvet_999/index.html,star-rating One,53.74,Instock
Soumission,soumission_998/index.html,star-rating One,50.10,Instock
Sharp Objects,sharp-objects_997/index.html,star-rating Four,47.82,Instock
Sapiens: A Brief History of Humankind,sapiens-a-brief-history-of-humankind_996/index.html,star-rating Five,54.23,Instock
The Requiem Red,the-requiem-red_995/index.html,star-rating One,22.65,Instock
The Dirty Little Secrets of Getting Your Dream Job,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,star-rating Four,33.34,Instock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,star-rating Three,17.93,Instock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,star-rating Four,22.60,Instock
The Black Maria,the-black-maria_991/index.html,star-rating One,52.15,Instock
"Starving Hearts (Triangular Trade Trilogy, #1)",starving-hearts-triangular-trade-trilogy-1_990/index.html,star-rating Two,13.99,Instock
Shakespeare's Sonnets,shakespeares-sonnets_989/index.html,star-rating Four,20.66,Instock
Set Me Free,set-me-free_988/index.html,star-rating Five,17.46,Instock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,star-rating Five,52.29,Instock
Rip it Up and Start Again,rip-it-up-and-start-again_986/index.html,star-rating Five,35.02,Instock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,star-rating Three,57.25,Instock
Olio,olio_984/index.html,star-rating One,23.88,Instock
Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,star-rating One,37.59,Instock
Libertarianism for Beginners,libertarianism-for-beginners_982/index.html,star-rating Two,51.33,Instock
It's Only the Himalayas,its-only-the-himalayas_981/index.html,star-rating Two,45.17,Instock
In Her Wake,in-her-wake_980/index.html,star-rating One,12.84,Instock
How Music Works,how-music-works_979/index.html,star-rating Two,37.32,Instock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,star-rating Three,30.52,Instock
Chase Me (Paris Nights #2),chase-me-paris-nights-2_977/index.html,star-rating Five,25.27,Instock
Black Dust,black-dust_976/index.html,star-rating Five,34.53,Instock
Birdsong: A Story in Pictures,birdsong-a-story-in-pictures_975/index.html,star-rating Three,54.64,Instock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,star-rating Three,22.50,Instock
Aladdin and His Wonderful Lamp,aladdin-and-his-wonderful-lamp_973/index.html,star-rating Three,53.13,Instock
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,star-rating Five,40.30,Instock
Wall and Piece,wall-and-piece_971/index.html,star-rating Four,44.18,Instock
The Four Agreements: A Practical Guide to Personal Freedom,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,star-rating Five,17.66,Instock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,star-rating Three,31.05,Instock
The Elephant Tree,the-elephant-tree_968/index.html,star-rating Five,23.82,Instock
The Bear and the Piano,the-bear-and-the-piano_967/index.html,star-rating One,36.89,Instock
Sophie's World,sophies-world_966/index.html,star-rating Five,15.94,Instock
Penny Maybe,penny-maybe_965/index.html,star-rating Three,33.29,Instock
Maude (1883-1993):She Grew Up with the country,maude-1883-1993she-grew-up-with-the-country_964/index.html,star-rating Two,18.02,Instock
"In a Dark, Dark Wood",in-a-dark-dark-wood_963/index.html,star-rating One,19.63,Instock
Behind Closed Doors,behind-closed-doors_962/index.html,star-rating Four,52.22,Instock
You can't bury them all: Poems,you-cant-bury-them-all-poems_961/index.html,star-rating Two,33.63,Instock
Slow States of Collapse: Poems,slow-states-of-collapse-poems_960/index.html,star-rating Three,57.31,Instock
Reasons to Stay Alive,reasons-to-stay-alive_959/index.html,star-rating Two,26.41,Instock
Private Paris (Private #10),private-paris-private-10_958/index.html,star-rating Five,47.61,Instock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,star-rating Five,23.11,Instock
Without Borders (Wanderlove #1),without-borders-wanderlove-1_956/index.html,star-rating Two,45.07,Instock
When We Collided,when-we-collided_955/index.html,star-rating One,31.77,Instock
"We Love You, Charlie Freeman",we-love-you-charlie-freeman_954/index.html,star-rating Five,50.27,Instock
Untitled Collection: Sabbath Poems 2014,untitled-collection-sabbath-poems-2014_953/index.html,star-rating Four,14.27,Instock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,star-rating Four,44.18,Instock
Unicorn Tracks,unicorn-tracks_951/index.html,star-rating Three,18.78,Instock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,star-rating One,25.52,Instock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,star-rating One,16.28,Instock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,star-rating Three,31.12,Instock
This One Summer,this-one-summer_947/index.html,star-rating Four,19.49,Instock
Thirst,thirst_946/index.html,star-rating Five,17.27,Instock
