TITLE,URL,RATING,AVAILABILITY,PRICE GBP,PRICE USD
The Rosie Project (Don Tillman #1),the-rosie-project-don-tillman-1_761/index.html,one,instock,54.04,47.19
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,one,instock,41.06,35.86
"Nightingale, Sing",nightingale-sing_823/index.html,one,instock,38.28,33.43
Night Sky with Exit Wounds,night-sky-with-exit-wounds_822/index.html,one,instock,41.05,35.85
Let's Pretend This Never Happened: A Mostly True Memoir,lets-pretend-this-never-happened-a-mostly-true-memoir_185/index.html,one,instock,45.11,39.39
Playing from the Heart,playing-from-the-heart_481/index.html,one,instock,32.38,28.28
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,one,instock,10.76,9.4
"Lean In: Women, Work, and the Will to Lead",lean-in-women-work-and-the-will-to-lead_183/index.html,one,instock,25.02,21.85
Jurassic Park (Jurassic Park #1),jurassic-park-jurassic-park-1_180/index.html,one,instock,44.97,39.27
The Selfish Gene,the-selfish-gene_81/index.html,one,instock,29.45,25.72
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html,one,instock,43.14,37.67
"Thinking, Fast and Slow",thinking-fast-and-slow_289/index.html,one,instock,21.14,18.46
Hollow City (Miss Peregrineâs Peculiar Children #2),hollow-city-miss-peregrines-peculiar-children-2_813/index.html,one,instock,42.98,37.53
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,its-never-too-late-to-begin-again-discovering-creativity-and-meaning-at-midlife-and-beyond_179/index.html,one,instock,42.38,37.01
The Metamorphosis,the-metamorphosis_409/index.html,one,instock,28.58,24.96
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),the-girl-who-kicked-the-hornets-nest-millennium-trilogy-3_248/index.html,one,instock,57.48,50.2
Follow You Home,follow-you-home_809/index.html,one,instock,21.36,18.65
First Steps for New Christians (Print Edition),first-steps-for-new-christians-print-edition_808/index.html,one,instock,29.0,25.33
This One Moment (Pushing Limits #1),this-one-moment-pushing-limits-1_88/index.html,one,instock,48.71,42.54
"Vampire Knight, Vol. 1 (Vampire Knight #1)",vampire-knight-vol-1-vampire-knight-1_93/index.html,one,instock,15.4,13.45
