title,url,rating,price,availability,price usd
A Light in the Attic,a-light-in-the-attic_1000/index.html,three,51.77,instock,45.21
Tipping the Velvet,tipping-the-velvet_999/index.html,one,53.74,instock,46.93
Soumission,soumission_998/index.html,one,50.1,instock,43.75
Sharp Objects,sharp-objects_997/index.html,four,47.82,instock,41.76
Sapiens: A Brief History of Humankind,sapiens-a-brief-history-of-humankind_996/index.html,five,54.23,instock,47.36
The Requiem Red,the-requiem-red_995/index.html,one,22.65,instock,19.78
The Dirty Little Secrets of Getting Your Dream Job,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,four,33.34,instock,29.12
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,three,17.93,instock,15.66
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,four,22.6,instock,19.74
The Black Maria,the-black-maria_991/index.html,one,52.15,instock,45.54
"Starving Hearts (Triangular Trade Trilogy, #1)",starving-hearts-triangular-trade-trilogy-1_990/index.html,two,13.99,instock,12.22
Shakespeare's Sonnets,shakespeares-sonnets_989/index.html,four,20.66,instock,18.04
Set Me Free,set-me-free_988/index.html,five,17.46,instock,15.25
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,five,52.29,instock,45.66
Rip it Up and Start Again,rip-it-up-and-start-again_986/index.html,five,35.02,instock,30.58
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,three,57.25,instock,50.0
Olio,olio_984/index.html,one,23.88,instock,20.85
Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,one,37.59,instock,32.83
Libertarianism for Beginners,libertarianism-for-beginners_982/index.html,two,51.33,instock,44.83
It's Only the Himalayas,its-only-the-himalayas_981/index.html,two,45.17,instock,39.45
In Her Wake,in-her-wake_980/index.html,one,12.84,instock,11.21
How Music Works,how-music-works_979/index.html,two,37.32,instock,32.59
